"Name","SM_Facebook_id","SM_Facebook_user"
Beate Raudies,"136970730076971",BeateRaudiesPolitikerin
Mario Mieruch,"592476734135819",Mario Mieruch
Daniela Kluckert,"1736092590015714",kluckert.daniela
Marco Genthe,"1634448306785805",MarcoGenthe
Stephan Weil,"192914530744779",Stephan.Weil
,,gebhard.heike
"Volker Olenicak","1616124851994796",olenicak.volker
,,evamarie.plonske
Kaja Steffens,"487758054694214",dr.kaja.steffens
Roberto Kuhnert AfD,"635803306831250",Roberto Kuhnert AfD
,,ulrich.singer.524
Sepp Müller,"152650658523697",SeppMuellerMdB
,,albert.weiler.wk194
Peter Tschentscher,"2179181439072833",TschenPe
Edith Sitzmann,"174839475891161",edithsitzmann
Heiner Dunckel,"269419033477675",hdunckel
,,GabiHillerOhm
Matthias Gastel,"280699312717472",MatthiasGastelMdB
Klaus Voussem,"407625325601",klaus.voussem
Helma Kuhn-Theis,"225020694259829",Helma.Kuhn.Theis
Silke Launert,"401006200007303",launert.silke
Martin Dulig,"477257932385743",dulig
Susanne Kitschun,"257220191329937",susanne.kitschun.mda
Manuel Sarrazin,"75020759072",sarrazin.manuel
Christian Dahm,"230792993777216",Christian.Dahm.Vlotho
Kai Whittaker,"135445149965726",kai.whittaker.cdu
Ülker Radziwill,"513601545361626",uelker.radziwill
,,stefan.loew.bayern1
Michael Kaufmann,"212830898880956",AfDKaufmann
Regine Müller,"401538843221196",RegineMuellerMdL
Klaus Burger,"451899691554656",burger.mdl
Gottfried Backhaus,"704608256347911",Gottfried.Backhaus
,,dunja.kreiser
,,harald.ebner
Andrea Stullich,"1089491811146530",stullich.nrw
Anna von Treuenfels-Frowein,"832762216805769",vTreuenfels
"Clara West, Mitglied des Berliner Abgeordnetenhauses","884589101558593",drclarawest
Jens Schwieger,"314961521880546",jpschwieger
Jörn Domeier - für den Landkreis Helmstedt,"1332527876865130",joerndomeier
Daniela Kuge,"373466959874450",DanielaKugeSachsen
,,dfoest
Abgeordnetenbüro Hendrik Hering,"2021717121492011",HendrikHeringHachenburg
Saskia Ludwig,"508980172628755",SaskiaLudwig17
Georg-Ludwig von Breitenbuch für Sachsenwahl 2019,"445380536040850",Georg-Ludwig von Breitenbuch für Sachsenwahl 2019
Elisabeth Müller-Witt,"293255254630",ElisabethMuellerWitt
Martin Dolzer,"324166407731623",dolzermartin
Rainer Balzer,"929822837130582",dr.rainer.balzer
Caren Marks,"110161394624",Caren.Marks
,,carsten.trager
,,people
"André Poggenburg","1079592458722716",poggenburg
Markus Ganserer,"303393559765210",MarkusGanserer
,,mdeisenhofer
Josephine Ortleb,"197149160794704",josephine.ortleb
Udo Stein,"127793857598220",Stein.Udo
,,gerhard.lein.73
Ulrich Siegmund,"425068607950031",Ulrich Siegmund
Eva von Angern,"282581785114052",evavonangern.dielinke
,,buechler.markus
Daniel Wesener,"1085294454857252",Daniel Wesener
Jakub Wozniak,"761952703876800",Jakub Wozniak
Aminata Touré,"195919501132245",aminatatouremdl
Petra Emmerich-Kopatsch,"1874713759522725",petraemmerichkopatsch
Stefan Löw,"1800790969953722",stefan.loew.bayern
,,ulle.schauws
Markus Klaer,"100131458016192",Markus Klaer
Daniela De Ridder,"411771882251946",dr.danieladeridder
,,karina.fissmann
