Name,Fraktion,Geschlecht,Twitter_screen_name,Twitter_id,Parlament
"Andrea Bogner-Unden","Bündnis 90/Die Grünen",weiblich,,,"Landtag von Baden-Württemberg"
"Christiane Böhm","DIE LINKE",weiblich,ChristianeBoehm,29062351,"Hessischer Landtag"
"Martin Böhm",AfD,männlich,,,"Bayerischer Landtag"
"Marco Böhme","DIE LINKE",männlich,BoehmeMarco,21297432,"Sächsischer Landtag"
"Timo Böhme",AfD,männlich,,,"Landtag Rheinland-Pfalz"
"Dr. Marret Bohn","Bündnis 90/Die Grünen",weiblich,MarretGruen,526750980,"Schleswig-Holsteinischer Landtag"
"Elombo Bolayela",SPD,männlich,Bolayela,258404471,"Bremische Bürgerschaft"
"Karl Hermann Bolldorf",AfD,männlich,KBolldorf,1180887160658022402,"Hessischer Landtag"
"Jan Bollinger",AfD,männlich,,,"Landtag Rheinland-Pfalz"
"Matthi Bolte-Richter","Bündnis 90/Die Grünen",männlich,matthi_bolte,17128288,"Landtag Nordrhein-Westfalen"
"Ralph Bombis",FDP,männlich,RalphBombis,2882429181,"Landtag Nordrhein-Westfalen"
"Frank Bommersbach",CDU,männlich,,,"Landtag Sachsen-Anhalt"
"Frank Bommert",CDU,männlich,BommertF,4833202817,"Landtag Brandenburg"
"Sonja Bongers",SPD,weiblich,sonjabongers,856937089505656836,"Landtag Nordrhein-Westfalen"
"Bernhard Bönisch",CDU,männlich,boenisch2012,400656681,"Landtag Sachsen-Anhalt"
"Carsten Borchert",CDU,männlich,Borchert_CDU,726487498956886017,"Landtag Sachsen-Anhalt"
"Siegfried  Borgwardt",CDU,männlich,,,"Landtag Sachsen-Anhalt"
"Daniel  Born",SPD,männlich,,,"Landtag von Baden-Württemberg"
"Frank Börner",SPD,männlich,,,"Landtag Nordrhein-Westfalen"
"Dennys Bornhöft",FDP,männlich,DABornhoeft,4854575801,"Schleswig-Holsteinischer Landtag"
"Martin Börschel",SPD,männlich,mboerschel,106185925,"Landtag Nordrhein-Westfalen"
"Ralf Borschke",AfD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Sandra Boser","Bündnis 90/Die Grünen",weiblich,SandraBoser,137991148,"Landtag von Baden-Württemberg"
"Frank Boss",CDU,männlich,,,"Landtag Nordrhein-Westfalen"
"Marcus Bosse",SPD,männlich,,,"Niedersächsischer Landtag"
"Stephan Bothe",AfD,männlich,bothe_stephan,934750486833651712,"Niedersächsischer Landtag"
"Eva- Maria Botzenhart","Bündnis 90/Die Grünen",weiblich,,,"Hamburgische Bürgerschaft"
"Volker Bouffier",CDU,männlich,,,"Hessischer Landtag"
"Klaus Bouillon",CDU,männlich,klausbouillon,90607386,"Landtag des Saarlandes"
"Prof. Dr. Rainer Bovermann",SPD,männlich,,,"Landtag Nordrhein-Westfalen"
"Cemal Bozoglu","Bündnis 90/Die Grünen",männlich,BozogluCemal,1166277894,"Bayerischer Landtag"
"Hans-Josef Bracht",CDU,männlich,HansJosefBracht,88241842,"Landtag Rheinland-Pfalz"
"Norbert Brackmann",CDU,männlich,,,Bundestag
"Christian Brade",SPD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Torben Braga",AfD,männlich,torben_braga,787776888097927169,"Thüringer Landtag"
"Gabriele Brakebusch",CDU,weiblich,brakebusch1,1086011780034379778,"Landtag Sachsen-Anhalt"
"Axel Brammer",SPD,männlich,,,"Niedersächsischer Landtag"
"Michael Brand",CDU,männlich,,,Bundestag
"Jens Brandenburg",FDP,männlich,JBrandenburgFDP,857906951707127808,Bundestag
"Mario Brandenburg",FDP,männlich,brafdp,802968497831739392,Bundestag
"Reinhard Brandl",CSU,männlich,reinhardbrandl,262730721,Bundestag
"Martin Brandl",CDU,männlich,MartinBrandl,52225440,"Landtag Rheinland-Pfalz"
"Stephan Brandner",AfD,männlich,stbrandner,713361366858481664,Bundestag
"Michel Brandt","DIE LINKE",männlich,mb_hb,1543429536,Bundestag
"Robert Brannekämper",CSU,männlich,brannekamper,839104070396882944,"Bayerischer Landtag"
"Franziska Brantner","Bündnis 90/Die Grünen",weiblich,fbrantner,32323724,Bundestag
"Christoph Bratmann",SPD,männlich,cbratmann,760834883359019008,"Niedersächsischer Landtag"
"Stephen Brauer",FDP,männlich,,,"Landtag von Baden-Württemberg"
"Bernhard Braun","Bündnis 90/Die Grünen",männlich,BernhardBraunLT,4339912575,"Landtag Rheinland-Pfalz"
"Florian Braun",CDU,männlich,flobraun,22288580,"Landtag Nordrhein-Westfalen"
"Helge Reinhold Braun",CDU,männlich,HBraun,19108071,Bundestag
"Jürgen Braun",AfD,männlich,,,Bundestag
"Martina Braun","Bündnis 90/Die Grünen",weiblich,,,"Landtag von Baden-Württemberg"
"Eberhard Brecht",SPD,männlich,,,Bundestag
"Gönül Bredehorst",SPD,weiblich,GonulBredehorst,307202535,"Bremische Bürgerschaft"
"Silvia Breher",CDU,weiblich,,,Bundestag
"Sebastian Brehm",CSU,männlich,Brehm_inNBGNord,904304932257492992,Bundestag
"Heike Brehmer",CDU,weiblich,heikebrehmermdb,150372237,Bundestag
"Wibke Brems","Bündnis 90/Die Grünen",weiblich,wibkegt,17809381,"Landtag Nordrhein-Westfalen"
"Gudrun Brendel-Fischer",CSU,weiblich,gudrunbrendelf,592710444,"Bayerischer Landtag"
"Steeven Bretz",CDU,männlich,,,"Landtag Brandenburg"
"Patrick Breyer",Piraten,männlich,echo_pbreyer,993792060548435968,EU-Parlament
"Leni Breymaier",SPD,weiblich,lenibreymaier,748453543632330752,Bundestag
"Kristin Brinker",AfD,weiblich,Kristin_Brinker,2359728006,"Abgeordnetenhaus von Berlin"
"Ralph Brinkhaus",CDU,männlich,rbrinkhaus,38001527,Bundestag
"Markus Brinkmann",SPD,männlich,BrinkmannB,410100083,"Niedersächsischer Landtag"
"Dietmar Brockes",FDP,männlich,brockes,30038463,"Landtag Nordrhein-Westfalen"
"Tim Brockmann",CDU,männlich,,,"Schleswig-Holsteinischer Landtag"
"Alexander Brockmeier",FDP,männlich,Alexbrockmeier,141585108,"Landtag Nordrhein-Westfalen"
"Dr. Frank Brodehl",AfD,männlich,,,"Schleswig-Holsteinischer Landtag"
"Dr. Carsten Brodesser",CDU,männlich,,,Bundestag
"Hugh Bronson",AfD,männlich,HughBronson_AfD,1647937405,"Abgeordnetenhaus von Berlin"
"Carsten Brosda",SPD,männlich,,,"Hamburgische Bürgerschaft"
"Bettina Brück",SPD,weiblich,bettinabrueck,4137094581,"Landtag Rheinland-Pfalz"
"Philipp Bruck",Grünen,männlich,PhBruck,3241137995,"Bremische Bürgerschaft"
"Agnes Brugger","Bündnis 90/Die Grünen",weiblich,agnieszka_mdb,172269309,Bundestag
"Julian Brüning",CDU,männlich,Julian_Bruening,935109074,"Landtag Brandenburg"
"Thomas Brüninghoff",FDP,männlich,,,"Niedersächsischer Landtag"
"Janina Brünjes",SPD,weiblich,janinabruenjes,3313468192,"Bremische Bürgerschaft"
"Nico Brünler","DIE LINKE",männlich,NicoBruenler,3358305904,"Sächsischer Landtag"
"Silvia Brünnel","Bündnis 90/Die Grünen",weiblich,,,"Hessischer Landtag"
"Dr. Karl Heinz Brunner",SPD,männlich,brunnerganzohr,882929865535705088,Bundestag
"Sylvia Bruns",FDP,weiblich,,,"Niedersächsischer Landtag"
"Franziska Brychcy","DIE LINKE",weiblich,F_Brychcy,837467563604979712,"Abgeordnetenhaus von Berlin"
"Sandra Bubendorfer-Licht",FDP,weiblich,Sbubendorfer,887345693526036486,Bundestag
"Gabriele Bublies- Leifert",Fraktionslos,weiblich,,,"Landtag Rheinland-Pfalz"
"Christina Buchheim","DIE LINKE",weiblich,,,"Landtag Sachsen-Anhalt"
"Markus Buchheit",AfD,männlich,BuchheitMarkus,1153326441628651521,EU-Parlament
"Christian Buchholz",AfD,männlich,,,"Abgeordnetenhaus von Berlin"
"Daniel Buchholz",SPD,männlich,,,"Abgeordnetenhaus von Berlin"
"Markus Büchler","Bündnis 90/Die Grünen",männlich,der_buechler,2228653962,"Bayerischer Landtag"
"Dennis Buchner",SPD,männlich,Dennis_Buchner,221767923,"Abgeordnetenhaus von Berlin"
"Klaus Buchner",ÖDP,männlich,Dr_KlausBuchner,2257770468,EU-Parlament
"Robert Bücking",Grünen,männlich,,,"Bremische Bürgerschaft"
"Katrin Budde",SPD,weiblich,,,Bundestag
"Sarah Buddeberg","DIE LINKE",weiblich,,,"Sächsischer Landtag"
"Petra Budke","Bündnis 90/Die Grünen",weiblich,PetraBudke,954483875085979648,"Landtag Brandenburg"
"Matthias Büger",FDP,männlich,,,"Hessischer Landtag"
"Andreas Bühl",CDU,männlich,Buehlandreas,2279896372,"Thüringer Landtag"
"Marcus Bühl",AfD,männlich,,,Bundestag
"Magnus Buhlert",FDP,männlich,Magnus_Buhlert,53386625,"Bremische Bürgerschaft"
"Birke Bull-Bischoff","DIE LINKE",weiblich,birke_bull,81394072,Bundestag
"Friedrich Bullinger",FDP,männlich,,,"Landtag von Baden-Württemberg"
"Udo Bullmann",SPD,männlich,UdoBullmann,2461432297,EU-Parlament
"Marco Bülow",SPD,männlich,marcobuelow,52119203,Bundestag
