Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Thomas Hentschel,GRÜNE,32 Rastatt,nachgerückt am 5. August 2016 für Kirsten Lehnig,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Thomas_Hentschel
Winfried Hermann,GRÜNE,02 Stuttgart II,,"https://de.wikipedia.org/wiki/Datei:2013-05-15_16_-_Hermann,_Winfried,_MdL_-_LTBW_-_4738.jpg",https://de.wikipedia.org/wiki/Winfried_Hermann
Stefan Herre,fraktionslos,63 Balingen,5. Juli bis 11. Oktober 2016 Mitglied der Fraktion ABW[4]  Am 29. November 2019 Austritt aus der AfD-Fraktion und der Partei[3],https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Stefan_Herre_(Politiker)
Rainer Hinderer,SPD,18 Heilbronn,,https://de.wikipedia.org/wiki/Datei:Rainer_Hinderer_8733.JPG,https://de.wikipedia.org/wiki/Rainer_Hinderer
Ulli Hockenberger,CDU,29 Bruchsal,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ulli_Hockenberger
Peter Hofelich,SPD,10 Göppingen,,https://de.wikipedia.org/wiki/Datei:Peter-hofelich-mdl-bw.png,https://de.wikipedia.org/wiki/Peter_Hofelich
Nicole Hoffmeister-Kraut,CDU,63 Balingen,,https://de.wikipedia.org/wiki/Datei:2019_Schwoermontag_Hoffmeister-Kraut.jpg,https://de.wikipedia.org/wiki/Nicole_Hoffmeister-Kraut
Klaus Hoher,FDP/DVP,67 Bodensee,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Klaus_Hoher
Isabell Huber,CDU,20 Neckarsulm,nachgerückt am 22. Januar 2019 für Bernhard Lasotta,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Isabell_Huber
Daniel Karrais,FDP/DVP,53 Rottweil,nachgerückt am 13. November 2018 für Gerhard Aden,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Daniel_Karrais
Hermann Katzenstein,GRÜNE,41 Sinsheim,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Hermann_Katzenstein
Jürgen Keck,FDP/DVP,56 Konstanz,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Keck
Andreas Kenner,SPD,08 Kirchheim,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Andreas_Kenner
Manfred Kern,GRÜNE,40 Schwetzingen,,"https://de.wikipedia.org/wiki/Datei:2013-05-15_16_-_Kern,_Manfred,_MdL_-_LTBW_-_5052.jpg",https://de.wikipedia.org/wiki/Manfred_Kern_(Politiker)
Timm Kern,FDP/DVP,45 Freudenstadt,,https://de.wikipedia.org/wiki/Datei:Timm_72.jpg,https://de.wikipedia.org/wiki/Timm_Kern
