"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"8b857c34-3351-4123-9c7d-136230db32a5","Parlamentarier","Landtag Sachsen-Anhalt","Kerstin Eisenreich","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5906_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Kerstin_Eisenreich","weiblich","KerEisen",781782792275460096,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"27fe5632-7b94-4533-b953-3bf1183a184f","Parlamentarier","Landtag Sachsen-Anhalt","Rüdiger Erben","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:R%C3%BCdiger_Erben_2397.jpg","https://de.wikipedia.org/wiki/R%C3%BCdiger_Erben",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"a9682c10-5939-4dd8-a89e-9bdaf99de471","Parlamentarier","Landtag Sachsen-Anhalt","Robert Farle","AfD","33 Saalekreis","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Robert_Farle","männlich","robert_farle",2958611710,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d6c3b674-41bb-4bdb-89f4-cb0037cb4c37","Parlamentarier","Landtag Sachsen-Anhalt","Dorothea Frederking","GRÜNE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5959_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Dorothea_Frederking","weiblich","doro_frederking",223885688,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"2b8423a3-e4ef-43bf-a187-1f67a16a246a","Parlamentarier","Landtag Sachsen-Anhalt","Lydia Funke","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Lydia_Funke","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"4e3cf962-7606-4299-ba41-5d349535f956","Parlamentarier","Landtag Sachsen-Anhalt","Wulf Gallert","LINKE","Landesliste","Landtagsvizepräsident","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Wulf_Gallert_MdL_DE-ST_-_1366.jpg","https://de.wikipedia.org/wiki/Wulf_Gallert","männlich","WulfGallert",211156251,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"cc36b902-eb95-401e-a7c1-ab662eee6752","Parlamentarier","Landtag Sachsen-Anhalt","Stefan Gebhardt","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Stefan_Gebhardt_2117.jpg","https://de.wikipedia.org/wiki/Stefan_Gebhardt","männlich","StefGeb",82568949,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"67229770-4604-471e-8e94-10cefdac13e6","Parlamentarier","Landtag Sachsen-Anhalt","Andreas Gehlmann","AfD","31 Sangerhausen","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Andreas_Gehlmann","männlich","afdgehlmann",948856130163429376,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"96172add-849f-444e-91ee-8456a4c2589e","Parlamentarier","Landtag Sachsen-Anhalt","Angela Gorr","CDU","16 Wernigerode","","https://de.wikipedia.org/wiki/Datei:Angela_Gorr_MdL.jpg","https://de.wikipedia.org/wiki/Angela_Gorr",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"eacb9f94-76b0-4d0f-ba6f-a128eaf014b3","Parlamentarier","Landtag Sachsen-Anhalt","Falko Grube","SPD","Landesliste","am 18. Mai 2016 nachgerückt für Jörg Felgner[9]","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5984_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Falko_Grube","männlich","falkogrube",185606466,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"48b51f8d-e785-4529-bc1f-65a4810d8a22","Parlamentarier","Landtag Sachsen-Anhalt","Detlef Gürth","CDU","18 Aschersleben","","https://de.wikipedia.org/wiki/Datei:12-12-14-detlef-g%C3%BCrth.jpg","https://de.wikipedia.org/wiki/Detlef_G%C3%BCrth",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"c598473d-2e18-43f8-b5db-75f31943cebe","Parlamentarier","Landtag Sachsen-Anhalt","Hardy Güssau","CDU","04 Stendal","Landtagspräsident (bis August 2016)","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Hardy_Peter_G%C3%BCssau_MdL_DE-ST_-_1132.jpg","https://de.wikipedia.org/wiki/Hardy_G%C3%BCssau",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"556fe690-ac94-4c12-998a-9f3d432c4e41","Parlamentarier","Landtag Sachsen-Anhalt","Uwe Harms","CDU","02 Gardelegen-Klötze","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_6116_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Uwe_Harms",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"fa2c2720-5c33-4900-a464-ed99a16f817e","Parlamentarier","Landtag Sachsen-Anhalt","Reiner Haseloff","CDU","27 Dessau-Roßlau-Wittenberg","","https://de.wikipedia.org/wiki/Datei:Reiner_Haseloff_(Martin_Rulsch)_09.jpg","https://de.wikipedia.org/wiki/Reiner_Haseloff","männlich","reinerhaseloff",111282322,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"30673807-6759-4a75-8840-7466c17886ae","Parlamentarier","Landtag Sachsen-Anhalt","Kristin Heiß","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Kristin_Heiss_2016.jpg","https://de.wikipedia.org/wiki/Kristin_Hei%C3%9F","weiblich","Kristin_Heiss",719243307734405120,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ba965d1e-9714-41c3-abc8-9c44051107a0","Parlamentarier","Landtag Sachsen-Anhalt","Guido Henke","Linke","Landesliste","am 6. November 2017 nachgerückt für Birke Bull-Bischoff[10]","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5856_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Guido_Henke","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"48aa113a-12c2-47e3-881a-192cb8f5f1ea","Parlamentarier","Landtag Sachsen-Anhalt","Guido Heuer","CDU","20 Wanzleben","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Guido_Heuer","männlich","GuidoHeuer",1927119547,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"220c9db0-b3c4-403e-8823-92151a243c05","Parlamentarier","Landtag Sachsen-Anhalt","Doreen Hildebrandt","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5797_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Doreen_Hildebrandt","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"3081a5f1-3955-42b6-b934-2a6e6438414b","Parlamentarier","Landtag Sachsen-Anhalt","Monika Hohmann","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5802_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Monika_Hohmann_(Politikerin)","weiblich","MonikaHohmann",944260839619596288,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"74def373-8225-47b2-b16f-04abd862c9e2","Parlamentarier","Landtag Sachsen-Anhalt","Andreas Höppner","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_6002_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Andreas_H%C3%B6ppner","männlich","Andreashoeppner",68455687,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"75614ded-d3f3-4767-b443-86dd759ee9a4","Parlamentarier","Landtag Sachsen-Anhalt","Thomas Höse","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Thomas_H%C3%B6se","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f7660b68-3330-4c2e-8023-840ea4d6ed0b","Parlamentarier","Landtag Sachsen-Anhalt","Holger Hövelmann","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Holger_H%C3%B6velmann_MdL_DE-ST_-_1547.jpg","https://de.wikipedia.org/wiki/Holger_H%C3%B6velmann","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f3e7e2b0-bd25-4b79-9a5f-75e794b3daef","Parlamentarier","Landtag Sachsen-Anhalt","Eduard Jantos","CDU","Landesliste","am 28. Juni 2018 nachgerückt für Ralf Geisthardt[11]","https://de.wikipedia.org/wiki/Datei:Eduard_Jantos_(Martin_Rulsch)_2.jpg","https://de.wikipedia.org/wiki/Eduard_Jantos","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
