"uuid","category","group","Name","Fraktion","Fraktion.1","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"7e8846aa-eda8-4465-874a-0b9a5061dacd","Parlamentarier","EU-Parlament","Jan Christian Ehler","CDU","<U+FEFF>EPP","Brandenburg","","https://de.wikipedia.org/wiki/Datei:Dr._Christian_Ehler.jpg","https://de.wikipedia.org/wiki/Jan_Christian_Ehler",NA,NA,NA,NA,NA,2021-02-23 20:47:00,"admin",""
"573c40e8-ceda-4d98-8117-72668c962b6a","Parlamentarier","EU-Parlament","Cornelia Ernst","LINKE","<U+FEFF>GUE-NGL","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:4082784206_cornelia_ernst_crop.jpg","https://de.wikipedia.org/wiki/Cornelia_Ernst","weiblich","ErnstCornelia",1225229076,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"69959b2d-25e4-4179-8d71-13db1d721625","Parlamentarier","EU-Parlament","Engin Eroglu","FW","<U+FEFF>RE","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Engin_Eroglu,_Landesvorsitzender_FREIE_W%C3%84HLER_Hessen.jpg","https://de.wikipedia.org/wiki/Engin_Eroglu","männlich","EnginEroglu_FW",940691491835564032,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"e73d3709-0e6d-4885-899a-2fae3be5ef82","Parlamentarier","EU-Parlament","Ismail Ertug","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Ertug_Ismail_Kandidatenfoto_klein.jpg","https://de.wikipedia.org/wiki/Ismail_Ertug","männlich","IsmailErtug",578240398,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"301bcafb-7c1f-448b-860e-b1b1d3bc5b22","Parlamentarier","EU-Parlament","Markus Ferber","CSU","<U+FEFF>EPP","Bayern","","https://de.wikipedia.org/wiki/Datei:Ferber,_Markus-1305.jpg","https://de.wikipedia.org/wiki/Markus_Ferber","männlich","MarkusFerber",1949513514,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"4b5c5eb8-d30e-417b-beb9-d1fcaadb5a3d","Parlamentarier","EU-Parlament","Nicolaus Fest","AfD","<U+FEFF>ID","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Nicolaus_Fest","männlich","Nicolaus_Fest",773419555729379328,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"c57ed778-bf39-4fda-b8a1-18d5933c3742","Parlamentarier","EU-Parlament","Romeo Franz","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Romeo_Franz","männlich","RomeoFranz1",850600969184436224,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"9e55dc56-a612-4792-84cc-43a5c27703e1","Parlamentarier","EU-Parlament","Daniel Freund","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Daniel_Freund.jpg","https://de.wikipedia.org/wiki/Daniel_Freund","männlich","daniel_freund",306868006,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"254cbb63-4a74-404d-a460-68f1b5a671e9","Parlamentarier","EU-Parlament","Michael Gahler","CDU","<U+FEFF>EPP","Hessen","","https://de.wikipedia.org/wiki/Datei:Michael_Gahler_MEP_2.jpg","https://de.wikipedia.org/wiki/Michael_Gahler","männlich","michaelgahler",102642856,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"aed28cf2-91d4-48ee-b940-a98da6bc8ae8","Parlamentarier","EU-Parlament","Evelyne Marie-Thérèse Gebhardt","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Evelyne_Gebhardt_2009.png","https://de.wikipedia.org/wiki/Evelyne_Gebhardt",NA,NA,NA,NA,NA,2021-02-23 20:47:00,"admin",""
"f4688a14-dd39-4cad-ba1c-4a81ee0ad441","Parlamentarier","EU-Parlament","Alexandra Geese","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_female.svg","https://de.wikipedia.org/wiki/Alexandra_Geese","weiblich","alexandra_geese",1019949632108064768,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"962e9500-e179-448a-a5e3-e9b68b5b325e","Parlamentarier","EU-Parlament","Jens Geier","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Jens_Geier_MEP_1.jpg","https://de.wikipedia.org/wiki/Jens_Geier","männlich","EuropaJens",36347303,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"043a57e8-d4b7-42a8-ace6-802217151571","Parlamentarier","EU-Parlament","Helmut Geuking","FAM","<U+FEFF>EKR","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Helmut_Geuking","männlich","Brger100",206841917,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"8497e493-2e97-4b12-9f87-63824b61a00c","Parlamentarier","EU-Parlament","Sven Giegold","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Sven_Giegold_Oxford.JPG","https://de.wikipedia.org/wiki/Sven_Giegold","männlich","sven_giegold",16705726,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"6b31e7e6-276f-4827-b0d5-9b25b7618a20","Parlamentarier","EU-Parlament","Jens Gieseke","CDU","<U+FEFF>EPP","Niedersachsen","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Jens_Gieseke",NA,NA,NA,NA,NA,2021-02-23 20:47:00,"admin",""
"11f208a2-f28e-4b56-9353-391055364fb7","Parlamentarier","EU-Parlament","Andreas Glück","FDP","<U+FEFF>RE","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:2013-05-16_Andreas_Gl%C3%BCck_9479-crop.JPG","https://de.wikipedia.org/wiki/Andreas_Gl%C3%BCck",NA,NA,NA,NA,NA,2021-02-23 20:47:00,"admin",""
"baf1c02f-37bb-4ee9-a46b-1fc5681f3aa8","Parlamentarier","EU-Parlament","Svenja Hahn","FDP","<U+FEFF>RE","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_female.svg","https://de.wikipedia.org/wiki/Svenja_Hahn","weiblich","svenja_hahn",1124773536,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"a5defad5-b126-4494-b888-c0b16a521dd2","Parlamentarier","EU-Parlament","Henrike Hahn","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:2019-05-26_Henrike_Hahn_B90_Gr%C3%BCne_9573.jpg","https://de.wikipedia.org/wiki/Henrike_Hahn_(Politikerin)","weiblich","henrikehahn",1601699341,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"2a58694b-b809-48a0-92a7-c720a62e15d0","Parlamentarier","EU-Parlament","Martin Häusling","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Martin_H%C3%A4usling.jpg","https://de.wikipedia.org/wiki/Martin_H%C3%A4usling","männlich","MartinHaeusling",82912952,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"322c1dcc-8abd-4d7e-bd8d-ec0c8fc0084f","Parlamentarier","EU-Parlament","Niclas Herbst","CDU","<U+FEFF>EPP","Schleswig-Holstein","","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Niclas_Herbst","männlich","HerbstNiclas",1081127517250043904,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"8ac754ff-d709-4500-91d8-66b8c48e1811","Parlamentarier","EU-Parlament","Pierrette Herzberger-Fofana","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Pierrette_Herzberger-Fofana.jpg","https://de.wikipedia.org/wiki/Pierrette_Herzberger-Fofana","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"4bd5ffe7-0fe0-4dc0-b770-b365b2492495","Parlamentarier","EU-Parlament","Monika Hohlmeier","CSU","<U+FEFF>EPP","Bayern","","https://de.wikipedia.org/wiki/Datei:Hohlmeier,_Monika-1924.jpg","https://de.wikipedia.org/wiki/Monika_Hohlmeier","weiblich","MHohlmeier",2904048473,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"baea8049-cdb4-4b86-aa18-650485ae97e9","Parlamentarier","EU-Parlament","Peter Jahr","CDU","<U+FEFF>EPP","Sachsen","","https://de.wikipedia.org/wiki/Datei:Peter_Jahr_(Martin_Rulsch)_2.jpg","https://de.wikipedia.org/wiki/Peter_Jahr","männlich","peter_jahr",3119157183,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"588166e3-89e1-4040-9d01-6f97255991e2","Parlamentarier","EU-Parlament","Petra Kammerevert","SPD","<U+FEFF>S&D","Bundesgebiet","","https://de.wikipedia.org/wiki/Datei:Petra_Kammerevert_2014.jpg","https://de.wikipedia.org/wiki/Petra_Kammerevert","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
"b8a0ba3c-f859-4328-8a4c-82c153b483b1","Parlamentarier","EU-Parlament","Ska Keller","GRÜNE","<U+FEFF>G–EFA","Bundesgebiet","Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:Ska_Keller_(10851856583).jpg","https://de.wikipedia.org/wiki/Ska_Keller","weiblich","SkaKeller",16600393,2021-02-23 20:23:58,"grenwi",2021-02-23 20:47:00,"admin",""
